fec_candidate_id,name,party,status,state,zip,fec_committee_id,cycle,cand_status,office_state,district,branch,url,crp_id
H8OH16157,"PALMER, SUSAN MORAN",DEM,O,OH,44145,C00667915,2018,C,OH,16,H,https://www.susanpalmerforcongress.com/,
H2OH17109,"RYAN, TIMOTHY J.",DEM,I,OH,44446,C00373464,2018,C,OH,17,H,https://timryanforcongress.com/,N00025280
H0OH18069,"CARLISLE, PATRICK T",REP,C,OH,43056,C00465765,2018,N,OH,18,H,,
H8OH18088,"Dailey, Fred L.",Rep,C,OH,43050,C00435198,2018,P,OH,18,H,,
H6OH92012,"AMICONE, NICHOLAS",W,C,OH,43103,,2018,N,OH,92,H,,
H8OK01173,"GILPIN, TIM",DEM,O,OK,74104,C00672931,2018,C,OK,1,H,https://www.gilpin4congress.com/,
H8OK01157,"HERN, KEVIN R",REP,O,OK,74132,C00636092,2018,C,OK,1,H,https://www.hernforcongress.com/,
H8OK02197,"CASTALDO, RICHARD MICHAEL",LIB,C,OK,74344,C00681791,2018,N,OK,2,H,https://castaldoforcongress.info/,
H8OK02189,"FOREMAN, JOHN",IND,C,OK,74451,,2018,N,OK,2,H,http://www.foreman4congress.com/,
H2OK02083,"MULLIN, MARKWAYNE MR.",REP,I,OK,74965,C00498345,2018,C,OK,2,H,https://www.mullinforcongress.com/,N00033410
H8OK02148,"NICHOLS, JASON",DEM,C,OK,74464,C00660977,2018,C,OK,2,H,https://www.nichols4congress.com/,
H4OK06056,"LUCAS, FRANK D.",REP,I,OK,73628,C00287912,2018,C,OK,3,H,http://www.frankdlucas.com/,N00005559
H8OK03047,"ROBBINS, FRANKIE LEE",DEM,C,OK,73759,C00682484,2018,N,OK,3,H,http://www.robbinsforoklahoma.com/,
H8OK04094,"BRANNON, MARY",DEM,C,OK,73093,C00678060,2018,N,OK,4,H,http://electbrannon.com/,
H2OK04055,"COLE, TOM",REP,I,OK,73070,C00379735,2018,C,OK,4,H,http://www.tomcoleforcongress.com/,N00025726
H8OK04110,"PETERS, RUBY",IND,C,OK,73505,,2018,N,OK,4,H,,
H8OK05109,"HORN, KENDRA",DEM,C,OK,73112,C00648915,2018,C,OK,5,H,http://www.kendrahornforcongress.com/,
H4OK05132,"RUSSELL, STEVEN DANE",REP,I,OK,73020,C00558510,2018,C,OK,5,H,http://www.steverussellforcongress.com/,N00036175
H2OR01133,"BONAMICI, SUZANNE MS.",DEM,I,OR,97075,C00500421,2018,C,OR,1,H,,N00033474
H8OR01221,"GRIFFITH, GEORGE",REP,C,OR,97280,C00673699,2018,N,OR,1,H,,
H8OR01262,"VERBEEK, JOHN",REP,C,OR,97229,,2018,N,OR,1,H,,
